Date,Close/Last
10/14/22,$204.99 
10/13/22,$221.72 
10/12/22,$217.24 
10/11/22,$216.50 
10/10/22,$222.96 
10/7/22,$223.07 
10/6/22,$238.13 
10/5/22,$240.81 
10/4/22,$249.44 
10/3/22,$242.40 
9/30/22,$265.25 
9/29/22,$268.21 
9/28/22,$287.81 
9/27/22,$282.94 
9/26/22,$276.01 
9/23/22,$275.33 
9/22/22,$288.59 
9/21/22,$300.80 
9/20/22,$308.73 
9/19/22,$309.07 
9/16/22,$303.35 
9/15/22,$303.75 
9/14/22,$302.61 
9/13/22,$292.13 
9/12/22,$304.42 
9/9/22,$299.68 
9/8/22,$289.26 
9/7/22,$283.70 
9/6/22,$274.42 
9/2/22,$270.21 
9/1/22,$277.16 
8/31/22,$275.61 
8/30/22,$277.70 
8/29/22,$284.82 
8/26/22,$288.09 
8/25/22,$296.07 
8/24/22,$297.10 
8/23/22,$296.45 
8/22/22,$289.91 
8/19/22,$296.67 
8/18/22,$302.87 
8/17/22,$304.00 
8/16/22,$306.56 
8/15/22,$309.32 
8/12/22,$300.03 
8/11/22,$286.63 
8/10/22,$294.36 
8/9/22,$283.33 
8/8/22,$290.42 
8/5/22,$288.17 
8/4/22,$308.63 
8/3/22,$307.40 
8/2/22,$300.59 
8/1/22,$297.28 
7/29/22,$297.15 
7/28/22,$280.90 
7/27/22,$274.82 
7/26/22,$258.86 
7/25/22,$268.43 
7/22/22,$272.24 
7/21/22,$271.71 
7/20/22,$247.50 
7/19/22,$245.53 
7/18/22,$240.55 
7/15/22,$240.07 
7/14/22,$238.31 
7/13/22,$237.04 
7/12/22,$233.07 
7/11/22,$234.34 
7/8/22,$250.76 
7/7/22,$244.54 
7/6/22,$231.73 
7/5/22,$233.07 
7/1/22,$227.26 
6/30/22,$224.47 
6/29/22,$228.49 
6/28/22,$232.66 
6/27/22,$244.92 
6/24/22,$245.71 
6/23/22,$235.07 
6/22/22,$236.09 
6/21/22,$237.04 
6/17/22,$216.76 
6/16/22,$213.10 
6/15/22,$233 
6/14/22,$220.89 
6/13/22,$215.74 
6/10/22,$232.23 
6/9/22,$239.71 
6/8/22,$241.87 
6/7/22,$238.89 
6/6/22,$238.28 
6/3/22,$234.52 
6/2/22,$258.33 
6/1/22,$246.79 
5/31/22,$252.75 
5/27/22,$253.21 
5/26/22,$235.91 
5/25/22,$219.60 
5/24/22,$209.39 
5/23/22,$224.97 
5/20/22,$221.30 
5/19/22,$236.47 
5/18/22,$236.60 
5/17/22,$253.87 
5/16/22,$241.46 
5/13/22,$256.53 
5/12/22,$242.67 
5/11/22,$244.67 
5/10/22,$266.68 
5/9/22,$262.37 
5/6/22,$288.55 
5/5/22,$291.09 
5/4/22,$317.54 
5/3/22,$303.08 
5/2/22,$300.98 
4/29/22,$290.25 
4/28/22,$292.50 
4/27/22,$293.84 
4/26/22,$292.14 
4/25/22,$332.67 
4/22/22,$335.02 
4/21/22,$336.26 
4/20/22,$325.73 
4/19/22,$342.72 
4/18/22,$334.76 
4/14/22,$328.33 
4/13/22,$340.79 
4/12/22,$328.98 
4/11/22,$325.31 
4/8/22,$341.83 
4/7/22,$352.42 
4/6/22,$348.59 
4/5/22,$363.75 
4/4/22,$381.82 
4/1/22,$361.53 
3/31/22,$359.20 
3/30/22,$364.66 
3/29/22,$366.52 
3/28/22,$363.95 
3/25/22,$336.88 
3/24/22,$337.97 
3/23/22,$333.04 
3/22/22,$331.33 
3/21/22,$307.05 
3/18/22,$301.80 
3/17/22,$290.53 
3/16/22,$280.08 
3/15/22,$267.30 
3/14/22,$255.46 
3/11/22,$265.12 
3/10/22,$279.43 
3/9/22,$286.32 
3/8/22,$274.80 
3/7/22,$268.19 
3/4/22,$279.43 
3/3/22,$279.76 
3/2/22,$293.30 
3/1/22,$288.12 
2/28/22,$290.14 
2/25/22,$269.96 
2/24/22,$266.92 
2/23/22,$254.68 
2/22/22,$273.84 
2/18/22,$285.66 
2/17/22,$292.12 
2/16/22,$307.80 
2/15/22,$307.48 
2/14/22,$291.92 
2/11/22,$286.67 
2/10/22,$301.52 
2/9/22,$310.67 
2/8/22,$307.33 
2/7/22,$302.45 
2/4/22,$307.77 
2/3/22,$297.05 
2/2/22,$301.89 
2/1/22,$310.42 
1/31/22,$312.24 
1/28/22,$282.12 
1/27/22,$276.37 
1/26/22,$312.47 
1/25/22,$306.13 
1/24/22,$310 
1/21/22,$314.63 
1/20/22,$332.09 
1/19/22,$331.88 
1/18/22,$343.50 
1/14/22,$349.87 
1/13/22,$343.85 
1/12/22,$368.74 
1/11/22,$354.80 
1/10/22,$352.71 
1/7/22,$342.32 
1/6/22,$354.90 
1/5/22,$362.71 
1/4/22,$383.20 
1/3/22,$399.93 
12/31/21,$352.26 
12/30/21,$356.78 
12/29/21,$362.06 
12/28/21,$362.82 
12/27/21,$364.65 
12/23/21,$355.67 
12/22/21,$336.29 
12/21/21,$312.84 
12/20/21,$299.98 
12/17/21,$310.86 
12/16/21,$308.97 
12/15/21,$325.33 
12/14/21,$319.50 
12/13/21,$322.14 
12/10/21,$339.01 
12/9/21,$334.60 
12/8/21,$356.32 
12/7/21,$350.58 
12/6/21,$336.34 
12/3/21,$338.32 
12/2/21,$361.53 
12/1/21,$365 
11/30/21,$381.59 
11/29/21,$379.00 
11/26/21,$360.64 
11/24/21,$372 
11/23/21,$369.68 
11/22/21,$385.62 
11/19/21,$379.02 
11/18/21,$365.46 
11/17/21,$363.00 
11/16/21,$351.58 
11/15/21,$337.80 
11/12/21,$344.47 
11/11/21,$354.50 
11/10/21,$355.98 
11/9/21,$341.17 
11/8/21,$387.65 
